Accession_ID	GO_Count	BP_GO_IDs	BP_GO_Names	MF_GO_IDs	MF_GO_Names	CC_GO_IDs	CC_GO_Names
Dcitr08g0991012	1			GO:0003676	"nucleic acid binding"		
Dcitr11g0723011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700	"DNA-binding transcription factor activity"	GO:0005634	"nucleus"
Dcitr04g0995011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g0417011	4	GO:0009435	"NAD biosynthetic process"	GO:0004516;GO:0004514;GO:0003824	"nicotinate phosphoribosyltransferase activity";"nicotinate-nucleotide diphosphorylase (carboxylating) activity";"catalytic activity"		
Dcitr01g1596011	2			GO:0003676;GO:0008270	"nucleic acid binding";"zinc ion binding"		
Dcitr07g0183011	1			GO:0003676	"nucleic acid binding"		
Dcitr00g0341011	2	GO:0032259	"methylation"	GO:0008168	"methyltransferase activity"		
Dcitr05g1375011	2	GO:0006367	"transcription initiation from RNA polymerase II promoter"			GO:0005673	"transcription factor TFIIE complex"
Dcitr08g0341011	4	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004674;GO:0004672	"ATP binding";"protein serine/threonine kinase activity";"protein kinase activity"		
Dcitr01g0424011	1			GO:0016787	"hydrolase activity"		
Dcitr11g0436011	1			GO:0080019	"fatty-acyl-CoA reductase (alcohol-forming) activity"		
Dcitr07g1130011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0043565;GO:0003677	"sequence-specific DNA binding";"DNA binding"		
Dcitr01g0367011	1			GO:0003676	"nucleic acid binding"		
Dcitr11g0996011	2	GO:0055114	"oxidation-reduction process"	GO:0016616	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"		
Dcitr04g0847011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr03g1132011	3	GO:0043547	"positive regulation of GTPase activity"	GO:0005096	"GTPase activator activity"	GO:0005634	"nucleus"
Dcitr03g0238011	4			GO:0030170;GO:0003824;GO:0004587;GO:0008483	"pyridoxal phosphate binding";"catalytic activity";"ornithine-oxo-acid transaminase activity";"transaminase activity"		
Dcitr03g0944011	1			GO:0016787	"hydrolase activity"		
Dcitr10g0281011	4	GO:0007608	"sensory perception of smell"	GO:0005549;GO:0004984	"odorant binding";"olfactory receptor activity"	GO:0016020	"membrane"
Dcitr04g1482011	1	GO:0042254	"ribosome biogenesis"				
Dcitr01g0313011	1			GO:0003676	"nucleic acid binding"		
Dcitr12g0607012	2	GO:0055114	"oxidation-reduction process"	GO:0016491	"oxidoreductase activity"		
Dcitr08g0161011	7	GO:0006094;GO:0006090	"gluconeogenesis";"pyruvate metabolic process"	GO:0005524;GO:0009374;GO:0004736;GO:0003824;GO:0046872	"ATP binding";"biotin binding";"pyruvate carboxylase activity";"catalytic activity";"metal ion binding"		
Dcitr03g1974011	1			GO:0046872	"metal ion binding"		
Dcitr12g0429011	4	GO:0006355	"regulation of transcription, DNA-templated"	GO:0046983;GO:0003700	"protein dimerization activity";"DNA-binding transcription factor activity"	GO:0005667	"transcription factor complex"
Dcitr11g0746011	1			GO:0005096	"GTPase activator activity"		
Dcitr01g1247011	2			GO:0015276	"ligand-gated ion channel activity"	GO:0016020	"membrane"
Dcitr08g0567011	1	GO:0006357	"regulation of transcription by RNA polymerase II"				
Dcitr03g0278011	2	GO:0006366	"transcription by RNA polymerase II"	GO:0046982	"protein heterodimerization activity"		
Dcitr02g1786011	1	GO:0007050	"cell cycle arrest"				
Dcitr03g0489012	3	GO:0006351	"transcription, DNA-templated"	GO:0003677;GO:0003899	"DNA binding";"DNA-directed 5'-3' RNA polymerase activity"		
Dcitr01g1552011	6	GO:0006546;GO:0006520;GO:0055114	"glycine catabolic process";"cellular amino acid metabolic process";"oxidation-reduction process"	GO:0004375;GO:0016829;GO:0003824	"glycine dehydrogenase (decarboxylating) activity";"lyase activity";"catalytic activity"		
Dcitr03g1950011	3	GO:0051276	"chromosome organization"	GO:0005524	"ATP binding"	GO:0005694	"chromosome"
Dcitr08g0554012	4	GO:0006470;GO:0016311	"protein dephosphorylation";"dephosphorylation"	GO:0004725;GO:0016791	"protein tyrosine phosphatase activity";"phosphatase activity"		
Dcitr05g0995011	2			GO:0003676;GO:0003677	"nucleic acid binding";"DNA binding"		
Dcitr03g0666011	7	GO:0006470	"protein dephosphorylation"	GO:0000287;GO:0004722;GO:0030145;GO:0004721;GO:0043169;GO:0003824	"magnesium ion binding";"protein serine/threonine phosphatase activity";"manganese ion binding";"phosphoprotein phosphatase activity";"cation binding";"catalytic activity"		
Dcitr10g0406011	5	GO:0007005	"mitochondrion organization"	GO:0005525;GO:0005509;GO:0003924	"GTP binding";"calcium ion binding";"GTPase activity"	GO:0031307	"integral component of mitochondrial outer membrane"
Dcitr02g1300011	4	GO:0071805	"potassium ion transmembrane transport"	GO:0005267	"potassium channel activity"	GO:0016021;GO:0016020	"integral component of membrane";"membrane"
Dcitr01g0524011	6	GO:0045454;GO:0055114	"cell redox homeostasis";"oxidation-reduction process"	GO:0016491;GO:0050660;GO:0016668;GO:0004148	"oxidoreductase activity";"flavin adenine dinucleotide binding";"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor";"dihydrolipoyl dehydrogenase activity"		
Dcitr03g0794011	1			GO:0003677	"DNA binding"		
Dcitr01g1905011	4	GO:0006508	"proteolysis"	GO:0005044;GO:0004252	"scavenger receptor activity";"serine-type endopeptidase activity"	GO:0016020	"membrane"
Dcitr03g1126011	1			GO:0003676	"nucleic acid binding"		
Dcitr09g0514011	5	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0005737;GO:0016020;GO:0005634	"cytoplasm";"membrane";"nucleus"
Dcitr00g0925011	1					GO:0016021	"integral component of membrane"
Dcitr02g0609011	1	GO:0007052	"mitotic spindle organization"				
Dcitr04g1640011	2	GO:0006508	"proteolysis"	GO:0004185	"serine-type carboxypeptidase activity"		
Dcitr05g1029012	3	GO:0007411;GO:0007155	"axon guidance";"cell adhesion"			GO:0005886	"plasma membrane"
Dcitr12g0466011	3	GO:0006511	"ubiquitin-dependent protein catabolic process"	GO:0031625	"ubiquitin protein ligase binding"	GO:0031461	"cullin-RING ubiquitin ligase complex"
Dcitr12g0129012	1			GO:0003676	"nucleic acid binding"		
Dcitr08g1017011	2	GO:0019722	"calcium-mediated signaling"	GO:0005509	"calcium ion binding"		
Dcitr03g0799011	7	GO:0006886;GO:0015031;GO:0072583;GO:0016192	"intracellular protein transport";"protein transport";"clathrin-dependent endocytosis";"vesicle-mediated transport"	GO:0035615	"clathrin adaptor activity"	GO:0030122;GO:0030117	"AP-2 adaptor complex";"membrane coat"
Dcitr03g0680011	1			GO:0004521	"endoribonuclease activity"		
Dcitr04g0657011	1			GO:0003676	"nucleic acid binding"		
Dcitr03g1874011	3			GO:0003676;GO:0046872;GO:0016787	"nucleic acid binding";"metal ion binding";"hydrolase activity"		
Dcitr11g0602011	2			GO:0003924;GO:0005525	"GTPase activity";"GTP binding"		
Dcitr05g0294011	2	GO:0006417	"regulation of translation"			GO:0030015	"CCR4-NOT core complex"
Dcitr09g0310011	2	GO:0035556;GO:0051260	"intracellular signal transduction";"protein homooligomerization"				
Dcitr07g0381011	4	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840;GO:0015935	"ribosome";"small ribosomal subunit"
Dcitr07g0108011	3			GO:0003774;GO:0005524	"motor activity";"ATP binding"	GO:0016459	"myosin complex"
Dcitr02g1490011	3	GO:0006338	"chromatin remodeling"			GO:0031011;GO:0005634	"Ino80 complex";"nucleus"
Dcitr10g0474011	6	GO:0006388;GO:0006396	"tRNA splicing, via endonucleolytic cleavage and ligation";"RNA processing"	GO:0003972;GO:0008452;GO:0003676	"RNA ligase (ATP) activity";"RNA ligase activity";"nucleic acid binding"	GO:0072669	"tRNA-splicing ligase complex"
Dcitr03g0364011	3	GO:0016570;GO:0006368	"histone modification";"transcription elongation from RNA polymerase II promoter"			GO:0016593	"Cdc73/Paf1 complex"
Dcitr09g0603012	3	GO:0051168;GO:0006886	"nuclear export";"intracellular protein transport"	GO:0008536	"Ran GTPase binding"		
Dcitr04g0139011	6	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0005509;GO:0004713;GO:0005524	"protein kinase activity";"calcium ion binding";"protein tyrosine kinase activity";"ATP binding"	GO:0016020	"membrane"
Dcitr05g1433011	4	GO:0055114	"oxidation-reduction process"	GO:0050660;GO:0050661;GO:0004499	"flavin adenine dinucleotide binding";"NADP binding";"N,N-dimethylaniline monooxygenase activity"		
Dcitr12g0625011	1	GO:0006629	"lipid metabolic process"				
Dcitr09g0347011	2	GO:0006750	"glutathione biosynthetic process"	GO:0004357	"glutamate-cysteine ligase activity"		
Dcitr11g0826011	7	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677;GO:0008270;GO:0003707;GO:0043565;GO:0003700	"DNA binding";"zinc ion binding";"steroid hormone receptor activity";"sequence-specific DNA binding";"DNA-binding transcription factor activity"	GO:0042025	"host cell nucleus"
Dcitr06g1137011	7	GO:0006418;GO:0006420	"tRNA aminoacylation for protein translation";"arginyl-tRNA aminoacylation"	GO:0004812;GO:0005524;GO:0000166;GO:0004814	"aminoacyl-tRNA ligase activity";"ATP binding";"nucleotide binding";"arginine-tRNA ligase activity"	GO:0005737	"cytoplasm"
Dcitr05g0355011	9	GO:0097111;GO:0006281;GO:0097352;GO:0016192;GO:0006888	"endoplasmic reticulum-Golgi intermediate compartment organization";"DNA repair";"autophagosome maturation";"vesicle-mediated transport";"endoplasmic reticulum to Golgi vesicle-mediated transport"	GO:0016787;GO:0008413;GO:0000149	"hydrolase activity";"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity";"SNARE binding"	GO:0016020	"membrane"
Dcitr07g0736011	5	GO:0034220;GO:0006811	"ion transmembrane transport";"ion transport"	GO:0004888;GO:0005216	"transmembrane signaling receptor activity";"ion channel activity"	GO:0016021	"integral component of membrane"
Dcitr05g0657011	1			GO:0043022	"ribosome binding"		
Dcitr01g0624011	3			GO:0005524;GO:0016887	"ATP binding";"ATPase activity"	GO:0016020	"membrane"
Dcitr03g1298011	1			GO:0046983	"protein dimerization activity"		
Dcitr11g0665011	2	GO:0007264	"small GTPase mediated signal transduction"	GO:0005085	"guanyl-nucleotide exchange factor activity"		
Dcitr08g0330011	6	GO:0030154;GO:0050793;GO:0007219;GO:0007275	"cell differentiation";"regulation of developmental process";"Notch signaling pathway";"multicellular organism development"	GO:0005509	"calcium ion binding"	GO:0016021	"integral component of membrane"
Dcitr02g1316011	5	GO:0007156;GO:0007155	"homophilic cell adhesion via plasma membrane adhesion molecules";"cell adhesion"	GO:0005509	"calcium ion binding"	GO:0005886;GO:0016020	"plasma membrane";"membrane"
Dcitr03g0928011	4	GO:0055114	"oxidation-reduction process"	GO:0016702;GO:0004656	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"procollagen-proline 4-dioxygenase activity"	GO:0005783	"endoplasmic reticulum"
Dcitr03g1580011	3			GO:0008137;GO:0009055	"NADH dehydrogenase (ubiquinone) activity";"electron transfer activity"	GO:0016020	"membrane"
Dcitr04g0858011	1			GO:0005524	"ATP binding"		
Dcitr01g1147011	1			GO:0003676	"nucleic acid binding"		
Dcitr10g1010011	1			GO:0000062	"fatty-acyl-CoA binding"		
Dcitr04g1185011	2	GO:0000398	"mRNA splicing, via spliceosome"			GO:0005681	"spliceosomal complex"
Dcitr02g1206011	4	GO:0030163	"protein catabolic process"	GO:0016787;GO:0005524	"hydrolase activity";"ATP binding"	GO:0005737	"cytoplasm"
Dcitr08g0444011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0003677	"DNA-binding transcription factor activity";"DNA binding"		
Dcitr04g0186011	1			GO:0008080	"N-acetyltransferase activity"		
Dcitr07g0172011	2	GO:0006886	"intracellular protein transport"	GO:0046872	"metal ion binding"		
Dcitr09g0127011	1			GO:0046872	"metal ion binding"		
Dcitr00g0705011	4	GO:0006412	"translation"	GO:0008097;GO:0003735	"5S rRNA binding";"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr02g0868011	1	GO:0007165	"signal transduction"				
Dcitr09g0265011	5	GO:0007017	"microtubule-based process"	GO:0005200;GO:0005525;GO:0003924	"structural constituent of cytoskeleton";"GTP binding";"GTPase activity"	GO:0005874	"microtubule"
Dcitr02g0765011	4	GO:0007165;GO:0043123;GO:0002755	"signal transduction";"positive regulation of I-kappaB kinase/NF-kappaB signaling";"MyD88-dependent toll-like receptor signaling pathway"	GO:0070976	"TIR domain binding"		
Dcitr01g0328011	3	GO:0035494	"SNARE complex disassembly"	GO:0016887;GO:0005524	"ATPase activity";"ATP binding"		
Dcitr03g1651011	2			GO:0003924;GO:0005525	"GTPase activity";"GTP binding"		
Dcitr01g1286011	3	GO:0006508	"proteolysis"	GO:0004177;GO:0008235	"aminopeptidase activity";"metalloexopeptidase activity"		
Dcitr01g1405011	2	GO:0050953	"sensory perception of light stimulus"	GO:0004114	"3',5'-cyclic-nucleotide phosphodiesterase activity"		
Dcitr03g0299011	1	GO:0007165	"signal transduction"				
Dcitr06g0318012	6	GO:0015914	"phospholipid transport"	GO:0000287;GO:0005524;GO:0140326	"magnesium ion binding";"ATP binding";"ATPase-coupled intramembrane lipid transporter activity"	GO:0005802;GO:0016021	"trans-Golgi network";"integral component of membrane"
Dcitr09g0832011	4	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021;GO:0016020	"integral component of membrane";"membrane"
Dcitr04g0173011	1	GO:0006807	"nitrogen compound metabolic process"				
Dcitr02g0805012	1					GO:0032040	"small-subunit processome"
Dcitr02g1952011	4	GO:0055114	"oxidation-reduction process"	GO:0005506;GO:0016705;GO:0020037	"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"heme binding"		
Dcitr05g1573011	1			GO:0005096	"GTPase activator activity"		
Dcitr06g1378011	5	GO:0016579;GO:0006397;GO:0000245	"protein deubiquitination";"mRNA processing";"spliceosomal complex assembly"	GO:0036459;GO:0008270	"thiol-dependent ubiquitinyl hydrolase activity";"zinc ion binding"		
Dcitr02g0282011	5	GO:0006139	"nucleobase-containing compound metabolic process"	GO:0032422;GO:0003676;GO:0000977;GO:0008408	"purine-rich negative regulatory element binding";"nucleic acid binding";"RNA polymerase II regulatory region sequence-specific DNA binding";"3'-5' exonuclease activity"		
Dcitr01g0974011	3	GO:0006139	"nucleobase-containing compound metabolic process"	GO:0019205;GO:0005524	"nucleobase-containing compound kinase activity";"ATP binding"		
Dcitr11g0513012	1					GO:0016020	"membrane"
Dcitr04g0817011	1	GO:0006511	"ubiquitin-dependent protein catabolic process"				
Dcitr12g0190011	1			GO:0016491	"oxidoreductase activity"		
Dcitr01g0142011	1					GO:0005783	"endoplasmic reticulum"
Dcitr05g0687011	8	GO:0000038;GO:0055085;GO:0006635	"very long-chain fatty acid metabolic process";"transmembrane transport";"fatty acid beta-oxidation"	GO:0005524;GO:0016887;GO:0042626	"ATP binding";"ATPase activity";"ATPase-coupled transmembrane transporter activity"	GO:0005777;GO:0016021	"peroxisome";"integral component of membrane"
Dcitr01g0723012	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr09g0393011	2			GO:0003676;GO:0008270	"nucleic acid binding";"zinc ion binding"		
Dcitr03g0103011	1			GO:0016758	"transferase activity, transferring hexosyl groups"		
Dcitr10g0115011	1			GO:0003676	"nucleic acid binding"		
Dcitr07g1267011	1	GO:0008299	"isoprenoid biosynthetic process"				
Dcitr00g0167011	6	GO:0006625;GO:0007031	"protein targeting to peroxisome";"peroxisome organization"	GO:0005524;GO:0042623	"ATP binding";"ATPase activity, coupled"	GO:0005777;GO:0005778	"peroxisome";"peroxisomal membrane"
Dcitr06g1254011	1			GO:0003676	"nucleic acid binding"		
Dcitr02g0942011	7	GO:0055114;GO:0006355;GO:0034720	"oxidation-reduction process";"regulation of transcription, DNA-templated";"histone H3-K4 demethylation"	GO:0050660;GO:0003677;GO:0016491	"flavin adenine dinucleotide binding";"DNA binding";"oxidoreductase activity"	GO:0005634	"nucleus"
Dcitr02g0134011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0008270	"zinc ion binding"	GO:0005634	"nucleus"
Dcitr02g1066011	2	GO:0006464	"cellular protein modification process"	GO:0004719	"protein-L-isoaspartate (D-aspartate) O-methyltransferase activity"		
Dcitr01g0572011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g0461011	1			GO:0003824	"catalytic activity"		
Dcitr07g0292011	2	GO:0000077	"DNA damage checkpoint"			GO:0042025	"host cell nucleus"
Dcitr07g0309011	1			GO:0004672	"protein kinase activity"		
Dcitr06g1360011	1	GO:0043248	"proteasome assembly"				
Dcitr13g0451011	7	GO:0007188;GO:0007165;GO:0007186	"adenylate cyclase-modulating G protein-coupled receptor signaling pathway";"signal transduction";"G protein-coupled receptor signaling pathway"	GO:0005525;GO:0031683;GO:0003924;GO:0019001	"GTP binding";"G-protein beta/gamma-subunit complex binding";"GTPase activity";"guanyl nucleotide binding"		
Dcitr10g0859011	2	GO:0006400	"tRNA modification"	GO:0008176	"tRNA (guanine-N7-)-methyltransferase activity"		
Dcitr05g0799011	3			GO:0003676;GO:0046872;GO:0016787	"nucleic acid binding";"metal ion binding";"hydrolase activity"		
Dcitr01g1522011	5	GO:0055114	"oxidation-reduction process"	GO:0005506;GO:0016491;GO:0016705;GO:0031418	"iron ion binding";"oxidoreductase activity";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"L-ascorbic acid binding"		
Dcitr03g1561011	8	GO:0034220;GO:0006811	"ion transmembrane transport";"ion transport"	GO:0004540;GO:0003723;GO:0005230;GO:0004888;GO:0005216	"ribonuclease activity";"RNA binding";"extracellular ligand-gated ion channel activity";"transmembrane signaling receptor activity";"ion channel activity"	GO:0016021	"integral component of membrane"
Dcitr00g0243011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
